a bandage,bandaż
a beetle,chrząszcz
a behavior,zachowanie
a bend,zakręt
a bin,kosz
a blood,krew
a boarding school,internat
a bone,kość
a border,granica
a boutique,butik
a bowl,miska
a brake,hamulec
a breakfast,śniadanie
a breath,oddech
a breed,rasa
a burst,rozerwanie
a bursting,pęknięcie
a by-pass,obwodnica
a carbohydrate,węglowodan
a cave,jaskinia
a charge,opłata
a cheque book,książeczka czekowa
a cheque,czek
a childhood,dzieciństwo
a climbing,wspinaczka
a colleague,kolega z pracy
a commuter,dojeżdżający
a contract,kontrakt
a contraction,skurcz
a contractor,kontrahent
a countryside,wieś
a court,sąd
a cuisine,kuchnia
a cure,lekarstwo
a currency,waluta
a dandruff shampoo,szampon przeciwłupieżowy
a dandruff,łupież
a desert island,bezludna wyspa
a desert,pustynia
a dessert,deser
a dining room,jadalnia
a direction,kierunek
a discarding,odrzucanie
a disease,choroba
a dough,ciasto (do pizzy)
a drawback,wada
a drawer,szuflada
a drawing,rysunek
a duel,pojedynek
a dueling,pojedynkowanie
a experience,doświadczenie
a fall,spadek / upadek / jesień
a fare / a fee,opłata
a feeling,uczucie
a fibre,błonnik
a fight,walka
a fin,płetwa
a forest,las
a forestry,leśnictwo
a freight train,pociąg towarowy
a fur,sierść
a furniture,meble
a gamble,hazard
a gambling,hazard
a gang,banda
a gathering,zebranie
a ghostwriter, Autor widmo
a grooming,pielegnacja
a guest,gość
a happiness,szczęście
a harm,szkoda
a high school,liceum
a hint,wskazówka
a hitchhiking,autostop
a holder,uchwyt
a homework,praca domowa (lekcje)
a hood,kaptur
a hooded,zakapturzony
a hoodie,bluza z kapturem
a host,gospodarz
a housework,prace domowe (sprzątanie)
a hummingbird,koliber
a hurt,ból
a jewellery,biżuteria
a kayak / a canoe,kajak
a lane,pas drogowy
a lecture,wykład
a lemon balm,melisa
a lender,pożyczający
a lesson,lekcja
a litlle bit,trochę
a living room,salon
a loan,pożyczka
a lot of / plenty of,dużo
a lot,dużo
a mammal,ssak
a maternity leave,urlop macierzyński
a mattress,materac
a meal,posiłek
a might,moc
a millionaire,milioner
a monk,mnich
